feature,coefficient,abs_coef
flesch_ease,0.7911591584187121,0.7911591584187121
fk_grade,0.5124339249121652,0.5124339249121652
num_dates,0.4027970786438157,0.4027970786438157
num_numbers,-0.3111118685622439,0.3111118685622439
num_currencies,-0.2842571785509305,0.2842571785509305
q_len,0.27688308371719966,0.27688308371719966
ctx_len,0.22155409669193823,0.22155409669193823
sentence_count,0.1276669042364438,0.1276669042364438
num_conditions,0.12608328309544253,0.12608328309544253
num_amendments,-0.06367332422830217,0.06367332422830217
num_sebi_rbi_refs,0.03830360563272527,0.03830360563272527
